"","date","max_temperature_f","mean_temperature_f","min_temperature_f","max_visibility_miles","mean_visibility_miles","min_visibility_miles","max_wind_speed_mph","mean_wind_speed_mph","max_gust_speed_mph","precipitation_inches","cloud_cover","events","zip_code","city"
"1",2014-01-01,56,49,41,10,9,7,9,1,10,0,"3","No event","94107","San Francisco"
"2",2014-01-03,64,54,44,10,10,9,14,4,16,0,"3","No event","94107","San Francisco"
"3",2014-01-04,66,55,43,10,6,0,15,2,18,0,"2","Fog","94107","San Francisco"
"4",2014-01-05,66,55,44,10,10,10,14,5,15,0,"0","No event","94107","San Francisco"
"5",2014-01-06,60,52,44,10,10,7,9,2,10,0,"5","No event","94107","San Francisco"
"6",2014-01-07,61,54,46,10,9,7,15,4,17,0,"5","Rain","94107","San Francisco"
"7",2014-01-08,59,56,52,10,9,3,20,9,24,0.01,"7","No event","94107","San Francisco"
"8",2014-01-09,60,56,52,10,10,5,25,12,31,0,"5","No event","94107","San Francisco"
"9",2014-01-10,60,54,48,10,9,6,15,6,17,0,"4","No event","94107","San Francisco"
"10",2014-01-11,58,52,46,10,10,6,18,6,22,0,"4","No event","94107","San Francisco"
"11",2014-01-12,60,53,46,10,10,7,17,7,20,0,"2","No event","94107","San Francisco"
"12",2014-01-13,67,55,42,10,10,10,18,3,22,0,"1","No event","94107","San Francisco"
"13",2014-01-14,72,58,44,10,10,10,12,2,15,0,"0","No event","94107","San Francisco"
"14",2014-01-15,73,61,48,10,10,10,10,3,13,0,"0","No event","94107","San Francisco"
"15",2014-01-16,73,60,46,10,10,10,8,2,10,0,"0","No event","94107","San Francisco"
"16",2014-01-18,67,55,43,10,9,7,7,1,12,0,"0","No event","94107","San Francisco"
"17",2014-01-20,66,55,43,10,9,7,9,2,9,0,"1","No event","94107","San Francisco"
"18",2014-01-21,68,56,43,10,10,10,12,2,13,0,"3","No event","94107","San Francisco"
"19",2014-01-22,65,55,44,10,10,10,18,5,22,0,"1","No event","94107","San Francisco"
"20",2014-01-23,69,57,44,10,9,7,17,5,21,0,"0","No event","94107","San Francisco"
"21",2014-01-24,64,55,46,10,8,4,9,3,9,0,"3","No event","94107","San Francisco"
"22",2014-01-25,65,57,48,10,9,7,12,2,13,0,"2","No event","94107","San Francisco"
"23",2014-01-26,66,57,48,10,10,9,21,6,24,0,"3","No event","94107","San Francisco"
"24",2014-01-27,59,54,48,10,10,7,18,6,20,0,"6","No event","94107","San Francisco"
"25",2014-01-28,65,59,53,10,10,2,17,5,21,0,"7","No event","94107","San Francisco"
"26",2014-01-29,63,59,54,10,10,7,20,8,22,0,"8","Rain","94107","San Francisco"
"27",2014-02-01,59,51,42,10,10,10,20,6,23,0,"1","No event","94107","San Francisco"
"28",2014-02-02,58,53,47,10,8,4,29,12,33,0.85,"7","Rain","94107","San Francisco"
"29",2014-02-03,56,51,46,10,10,10,25,11,32,0,"3","No event","94107","San Francisco"
"30",2014-02-04,55,50,44,10,10,10,21,7,23,0,"4","No event","94107","San Francisco"
"31",2014-02-05,55,49,43,10,10,10,17,7,24,0.09,"6","Rain","94107","San Francisco"
"32",2014-02-06,52,50,48,10,8,2,20,7,23,0.64,"8","Rain","94107","San Francisco"
"33",2014-02-09,59,57,55,10,6,2,21,9,26,0.35,"8","Rain","94107","San Francisco"
"34",2014-02-10,57,54,51,10,9,2,17,10,20,0,"7","Rain","94107","San Francisco"
"35",2014-02-11,56,53,49,10,10,7,22,9,26,0,"6","No event","94107","San Francisco"
"36",2014-02-12,56,51,46,10,7,0,18,6,22,0,"6","Fog","94107","San Francisco"
"37",2014-02-13,67,59,50,10,6,0,15,8,20,0,"6","Fog","94107","San Francisco"
"38",2014-02-14,66,61,56,10,8,2,14,5,16,0,"7","No event","94107","San Francisco"
"39",2014-02-15,62,57,52,10,10,7,17,5,21,0,"7","Rain","94107","San Francisco"
"40",2014-02-16,63,57,50,10,10,6,20,8,23,0.01,"3","No event","94107","San Francisco"
"41",2014-02-17,61,54,46,10,10,10,21,10,25,0,"3","No event","94107","San Francisco"
"42",2014-02-18,62,55,48,10,10,5,22,8,25,0,"5","No event","94107","San Francisco"
"43",2014-02-19,62,57,51,10,10,10,23,14,26,0.01,"4","No event","94107","San Francisco"
"44",2014-02-20,67,56,45,10,10,9,18,6,22,0,"4","No event","94107","San Francisco"
"45",2014-02-21,69,58,47,10,10,10,22,7,26,0,"1","No event","94107","San Francisco"
"46",2014-02-22,66,56,46,10,10,10,23,9,28,0,"2","No event","94107","San Francisco"
"47",2014-02-23,63,55,46,10,9,6,23,8,26,0,"3","No event","94107","San Francisco"
"48",2014-02-24,71,58,45,10,10,10,17,6,21,0,"1","No event","94107","San Francisco"
"49",2014-02-25,62,55,48,10,9,7,20,6,23,0,"6","No event","94107","San Francisco"
"50",2014-02-28,63,59,55,10,8,1,26,13,33,0.74,"8","Rain","94107","San Francisco"
"51",2014-01-01,55,47,39,10,8,4,6,0,NA,0,"1","No event","94063","Redwood City"
"52",2014-01-02,60,50,41,10,10,7,6,0,NA,0,"1","No event","94063","Redwood City"
